,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
25,0.03,0.366524124,1363.04888997,-4.48456013,0.10283325,4.89126906,14.70489827,13.33913218,13.17999432,13.30615885,11.93992353,11.59070666,13.10111971,11.48185487,10.50563104,10.3116313,12.69836769,11.46866799
26,0.03,0.464158883,1271.87660173,-4.62250648,0.10075917,4.90896661,14.88038172,13.59229511,13.67701751,13.7410805,12.31038086,11.70515637,13.51619604,11.65645181,10.68339177,10.48530158,13.11884226,11.6518789
27,0.03,0.587801607,1199.26746364,-4.74113579,0.09886177,4.9254789,15.07873937,13.83350982,14.11133771,14.10912456,12.60157417,11.81888904,13.86436374,11.8188567,10.86264487,10.64462252,13.4461084,11.81678899
28,0.03,0.744380301,1091.5476754,-4.91900345,0.09723847,4.9398594,15.41364223,14.22390046,14.6855354,14.62445739,12.96368068,11.9794079,14.31401194,12.04218209,11.11725135,10.84111567,13.84886642,12.04084
29,0.03,0.942668455,1014.36405016,-5.05896072,0.09584638,4.95238441,15.71634391,14.56852342,15.1253684,15.07515103,13.24152025,12.13246501,14.68215957,12.23799228,11.34824563,10.99655952,14.16155939,12.23601019
30,0.03,1.19377664,945.05997191,-5.19316533,0.09460918,4.96366914,16.03297265,14.91970815,15.52933244,15.5195899,13.49599673,12.28799516,15.01797952,12.42953542,11.57374628,11.13677103,14.44484107,12.42656124
31,0.03,1.51177507,879.06480641,-5.32928434,0.09348526,4.97404933,16.37819991,15.28090594,15.93439096,15.99298386,13.74333547,12.45301867,15.33244175,12.61995385,11.79943711,11.27017707,14.71490138,12.6180561
32,0.03,1.91448198,813.25247018,-5.47406207,0.09245796,4.98364686,16.79285253,15.70327366,16.39014203,16.53050995,14.00977207,12.63873626,15.68590354,12.83412665,12.04424607,11.4125615,15.00802377,12.83147063
33,0.03,2.42446202,751.49362316,-5.61977415,0.09155508,4.99217062,17.22593103,16.13084519,16.85884724,17.08856197,14.27878722,12.828672,16.03979399,13.04959547,12.27671082,11.549945,15.30451716,13.04779504
34,0.03,3.07029063,696.84788501,-5.75856362,0.09075551,4.99978951,17.66643571,16.55903424,17.33212549,17.64324325,14.54079281,13.02930368,16.38644867,13.25778342,12.49373858,11.6795057,15.59877944,13.25730113
